Service Name                                      Display Name                                      
----------------------------------------------------------------------------------------------------
AdobeFlashPlayerUpdateSvc                         Adobe Flash Player Update Service                 
ALG                                               Application Layer Gateway Service                 
AppIDSvc                                          Application Identity                              
AppReadiness                                      App Readiness                                     
ApxSvc                                            Windows Virtual Audio Device Proxy Service        
autotimesvc                                       Cellular Time                                     
AxInstSV                                          ActiveX Installer (AxInstSV)                      
BDESVC                                            BitLocker Drive Encryption Service                
ClipSVC                                           Client License Service (ClipSVC)                  
coccoc                                            CÑc CÑc Update Service (coccoc)                   
CocCocElevationService                            CocCoc Elevation Service (CocCocElevationService) 
coccocm                                           CÑc CÑc Update Service (coccocm)                  
COMSysApp                                         COM+ System Application                           
dcsvc                                             Declared Configuration(DC) service                
defragsvc                                         Optimize drives                                   
DellClientManagementService                       Dell Client Management Service                    
DellTechHub                                       Dell TechHub                                      
DevQueryBroker                                    DevQuery Background Discovery Broker              
diagsvc                                           Diagnostic Execution Service                      
DmEnrollmentSvc                                   Device Management Enrollment Service              
dmwappushservice                                  Device Management Wireless Application Protocol (WAP) Push message Routing Service
dot3svc                                           Wired AutoConfig                                  
DsmSvc                                            Device Setup Manager                              
EapHost                                           Extensible Authentication Protocol                
edgeupdate                                        Microsoft Edge Update Service (edgeupdate)        
edgeupdatem                                       Microsoft Edge Update Service (edgeupdatem)       
EFS                                               Encrypting File System (EFS)                      
embeddedmode                                      Embedded Mode                                     
EntAppSvc                                         Enterprise App Management Service                 
Fax                                               Fax                                               
fhsvc                                             File History Service                              
FileSyncHelper                                    FileSyncHelper                                    
FrameServer                                       Windows Camera Frame Server                       
FrameServerMonitor                                Windows Camera Frame Server Monitor               
GameInputSvc                                      GameInput Service                                 
GoogleChromeElevationService                      Google Chrome Elevation Service (GoogleChromeElevationService)
GoogleUpdaterInternalService132.0.6833.0          Google Updater Internal Service (GoogleUpdaterInternalService132.0.6833.0)
GoogleUpdaterService132.0.6833.0                  Google Updater Service (GoogleUpdaterService132.0.6833.0)
gpsvc                                             Group Policy Client                               
GraphicsPerfSvc                                   GraphicsPerfSvc                                   
iaStorAfsService                                  Intel(R) Optane(TM) Memory Service                
icssvc                                            Windows Mobile Hotspot Service                    
IKEEXT                                            IKE and AuthIP IPsec Keying Modules               
Intel(R) TPM Provisioning Service                 Intel(R) TPM Provisioning Service                 
InventorySvc                                      Inventory and Compatibility Appraisal service     
IpxlatCfgSvc                                      IP Translation Configuration Service              
KtmRm                                             KtmRm for Distributed Transaction Coordinator     
lltdsvc                                           Link-Layer Topology Discovery Mapper              
LocalKdc                                          Kerberos Local Key Distribution Center            
LxpSvc                                            Language Experience Service                       
MapsBroker                                        Downloaded Maps Manager                           
McpManagementService                              McpManagementService                              
MicrosoftEdgeElevationService                     Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)
MSDTC                                             Distributed Transaction Coordinator               
MSiSCSI                                           Microsoft iSCSI Initiator Service                 
msiserver                                         Windows Installer                                 
NaturalAuthentication                             Natural Authentication                            
NcaSvc                                            Network Connectivity Assistant                    
NcdAutoSetup                                      Network Connected Devices Auto-Setup              
Netlogon                                          Netlogon                                          
NetSetupSvc                                       Network Setup Service                             
NetTcpPortSharing                                 Net.Tcp Port Sharing Service                      
NlaSvc                                            Network Location Awareness                        
OneDrive Updater Service                          OneDrive Updater Service                          
perceptionsimulation                              Windows Perception Simulation Service             
PerfHost                                          Performance Counter DLL Host                      
pla                                               Performance Logs & Alerts                         
PolicyAgent                                       IPsec Policy Agent                                
PrintDeviceConfigurationService                   Print Device Configuration Service                
